1,2,3,4,5,6,7,8,9
106,183,118,127,119,115,149,140,153
133,190,160,126,108,141,142,156,172
127,173,135,112,83,152,159,150,145
124,168,142,72,135,108,150,99,203
161,162,128,164,128,175,118,106,192
163,153,156,150,127,167,153,141,170
174,108,155,160,123,144,179,147,167
175,152,173,183,117,162,127,130,196
157,125,150,183,146,114,116,141,147
169,154,167,164,146,158,180,147,168
150,163,167,144,156,144,133,141,172
147,170,163,132,101,161,133,170,178
131,188,152,167,138,129,190,141,197
91,180,145,91,102,134,178,131,198
151,153,114,115,125,137,128,148,180
180,186,133,148,120,175,187,170,154
192,169,136,108,158,176,127,143,173
190,164,163,122,126,172,186,150,145
177,157,157,171,142,157,175,159,139
171,124,161,176,101,148,157,136,164
