,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,0,0.1,0.1.1,0.1.1.1,0.1.1.1.1,0.1.1.1.1.1,0.1.1.1.1.1.1,0.1.1.1.1.1.1.1,0.1.1.1.1.1.1.1.1,0
0,0,0,0,0,0,0,0,0,0,130.2,175.2,136.6,120.2,114.6,138.2,143.6,130.2,173.0,173.0
1,1,1,1,1,1,1,1,1,1,130.6,173.4,142.2,117.4,114.4,136.6,150.6,137.2,168.6,168.6
2,2,2,2,2,2,2,2,2,2,132.8,164.4,142.0,119.4,113.6,132.0,155.8,138.4,168.0,168.0
3,3,3,3,3,3,3,3,3,3,133.0,173.2,145.6,124.0,112.4,135.6,145.4,135.0,173.8,173.8
4,4,4,4,4,4,4,4,4,4,129.4,167.8,141.0,124.0,118.2,126.0,143.2,137.2,164.0,164.0
5,5,5,5,5,5,5,5,5,5,131.8,173.6,144.4,120.2,118.2,134.8,156.0,138.4,168.2,168.2
6,6,6,6,6,6,6,6,6,6,128.0,175.4,144.4,116.2,120.2,132.0,146.6,137.2,169.0,169.0
7,7,7,7,7,7,7,7,7,7,127.4,176.8,143.6,113.8,109.2,135.4,146.6,143.0,170.2,170.2
8,8,8,8,8,8,8,8,8,8,124.2,180.4,141.4,120.8,116.6,129.0,158.0,137.2,174.0,174.0
9,9,9,9,9,9,9,9,9,9,116.2,178.8,140.0,105.6,109.4,130.0,155.6,135.2,174.2,174.2
10,10,10,10,10,10,10,10,10,10,128.2,173.4,133.8,110.4,114.0,130.6,145.6,138.6,170.6,170.6
11,11,11,11,11,11,11,11,11,11,134.0,180.0,137.6,117.0,113.0,138.2,157.4,143.0,165.4,165.4
12,12,12,12,12,12,12,12,12,12,136.4,176.6,138.2,109.0,120.6,138.4,145.4,137.6,169.2,169.2
13,13,13,13,13,13,13,13,13,13,136.0,175.6,143.6,111.8,114.2,137.6,157.2,139.0,163.6,163.6
14,14,14,14,14,14,14,14,14,14,133.4,174.2,142.4,121.6,117.4,134.6,155.0,140.8,162.4,162.4
15,15,15,15,15,15,15,15,15,15,132.2,167.6,143.2,122.6,109.2,132.8,151.4,136.2,167.4,167.4
16,16,16,16,16,16,16,16,16,16,138.0,172.2,139.4,135.8,113.0,150.0,144.2,138.6,166.4,166.4
17,17,17,17,17,17,17,17,17,17,140.2,163.2,139.2,137.8,112.2,145.4,149.4,139.8,165.8,165.8
18,18,18,18,18,18,18,18,18,18,140.4,172.0,142.8,142.4,111.0,149.0,139.0,136.4,171.6,171.6
19,19,19,19,19,19,19,19,19,19,136.8,166.6,138.2,142.4,116.8,139.4,136.8,138.6,161.8,161.8
20,20,20,20,20,20,20,20,20,20,139.2,172.4,141.6,138.6,116.8,148.2,149.6,139.8,166.0,166.0
21,21,21,21,21,21,21,21,21,21,135.4,174.2,141.6,134.6,118.8,145.4,140.2,138.6,166.8,166.8
22,22,22,22,22,22,22,22,22,22,134.8,175.6,140.8,132.2,107.8,148.8,140.2,144.4,168.0,168.0
23,23,23,23,23,23,23,23,23,23,131.6,179.2,138.6,139.2,115.2,142.4,151.6,138.6,171.8,171.8
24,24,24,24,24,24,24,24,24,24,123.6,177.6,137.2,124.0,108.0,143.4,149.2,136.6,172.0,172.0
25,25,25,25,25,25,25,25,25,25,135.6,172.2,131.0,128.8,112.6,144.0,139.2,140.0,168.4,168.4
26,26,26,26,26,26,26,26,26,26,141.4,178.8,134.8,135.4,111.6,151.6,151.0,144.4,163.2,163.2
27,27,27,27,27,27,27,27,27,27,143.8,175.4,135.4,127.4,119.2,151.8,139.0,139.0,167.0,167.0
28,28,28,28,28,28,28,28,28,28,143.4,174.4,140.8,130.2,112.8,151.0,150.8,140.4,161.4,161.4
29,29,29,29,29,29,29,29,29,29,140.8,173.0,139.6,140.0,116.0,148.0,148.6,142.2,160.2,160.2
30,30,30,30,30,30,30,30,30,30,139.6,166.4,140.4,141.0,107.8,146.2,145.0,137.6,165.2,165.2
31,31,31,31,31,31,31,31,31,31,140.6,161.4,144.8,135.0,112.0,143.8,156.4,146.8,161.4,161.4
32,32,32,32,32,32,32,32,32,32,140.8,170.2,148.4,139.6,110.8,147.4,146.0,143.4,167.2,167.2
33,33,33,33,33,33,33,33,33,33,137.2,164.8,143.8,139.6,116.6,137.8,143.8,145.6,157.4,157.4
34,34,34,34,34,34,34,34,34,34,139.6,170.6,147.2,135.8,116.6,146.6,156.6,146.8,161.6,161.6
35,35,35,35,35,35,35,35,35,35,135.8,172.4,147.2,131.8,118.6,143.8,147.2,145.6,162.4,162.4
36,36,36,36,36,36,36,36,36,36,135.2,173.8,146.4,129.4,107.6,147.2,147.2,151.4,163.6,163.6
37,37,37,37,37,37,37,37,37,37,132.0,177.4,144.2,136.4,115.0,140.8,158.6,145.6,167.4,167.4
38,38,38,38,38,38,38,38,38,38,124.0,175.8,142.8,121.2,107.8,141.8,156.2,143.6,167.6,167.6
39,39,39,39,39,39,39,39,39,39,136.0,170.4,136.6,126.0,112.4,142.4,146.2,147.0,164.0,164.0
40,40,40,40,40,40,40,40,40,40,141.8,177.0,140.4,132.6,111.4,150.0,158.0,151.4,158.8,158.8
41,41,41,41,41,41,41,41,41,41,144.2,173.6,141.0,124.6,119.0,150.2,146.0,146.0,162.6,162.6
42,42,42,42,42,42,42,42,42,42,143.8,172.6,146.4,127.4,112.6,149.4,157.8,147.4,157.0,157.0
43,43,43,43,43,43,43,43,43,43,141.2,171.2,145.2,137.2,115.8,146.4,155.6,149.2,155.8,155.8
44,44,44,44,44,44,44,44,44,44,140.0,164.6,146.0,138.2,107.6,144.6,152.0,144.6,160.8,160.8
45,45,45,45,45,45,45,45,45,45,143.0,161.2,148.2,141.6,110.0,142.8,151.2,144.6,166.6,166.6
46,46,46,46,46,46,46,46,46,46,139.4,155.8,143.6,141.6,115.8,133.2,149.0,146.8,156.8,156.8
47,47,47,47,47,47,47,47,47,47,141.8,161.6,147.0,137.8,115.8,142.0,161.8,148.0,161.0,161.0
48,48,48,48,48,48,48,48,48,48,138.0,163.4,147.0,133.8,117.8,139.2,152.4,146.8,161.8,161.8
49,49,49,49,49,49,49,49,49,49,137.4,164.8,146.2,131.4,106.8,142.6,152.4,152.6,163.0,163.0
50,50,50,50,50,50,50,50,50,50,134.2,168.4,144.0,138.4,114.2,136.2,163.8,146.8,166.8,166.8
51,51,51,51,51,51,51,51,51,51,126.2,166.8,142.6,123.2,107.0,137.2,161.4,144.8,167.0,167.0
52,52,52,52,52,52,52,52,52,52,138.2,161.4,136.4,128.0,111.6,137.8,151.4,148.2,163.4,163.4
53,53,53,53,53,53,53,53,53,53,144.0,168.0,140.2,134.6,110.6,145.4,163.2,152.6,158.2,158.2
54,54,54,54,54,54,54,54,54,54,146.4,164.6,140.8,126.6,118.2,145.6,151.2,147.2,162.0,162.0
55,55,55,55,55,55,55,55,55,55,146.0,163.6,146.2,129.4,111.8,144.8,163.0,148.6,156.4,156.4
56,56,56,56,56,56,56,56,56,56,143.4,162.2,145.0,139.2,115.0,141.8,160.8,150.4,155.2,155.2
57,57,57,57,57,57,57,57,57,57,142.2,155.6,145.8,140.2,106.8,140.0,157.2,145.8,160.2,160.2
58,58,58,58,58,58,58,58,58,58,139.6,164.6,147.2,146.2,114.6,136.8,138.6,143.4,162.6,162.6
